Date : 2025-01-17 13:27:27
Directory : c:\Workspace\Robot\2025bot
Total : 78 files,  4846 codes, 1614 comments, 1008 blanks, all 7468 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\RobotConfig.java                                | Java            |         26 |          2 |          6 |         34 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\RobotTelemetry.java                             | Java            |         54 |         48 |         24 |        126 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\Layouts.md                           | Markdown        |         53 |          0 |         11 |         64 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepad.java              | Java            |         99 |         66 |         31 |        196 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadConfig.java        | Java            |         36 |          8 |          8 |         52 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadTelemetry.java     | Java            |         81 |          6 |         19 |        106 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\commands\PilotGamepadCmds.java | Java            |         34 |         11 |         11 |         56 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\AlignmentController.java             | Java            |         61 |          6 |         14 |         81 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainOdometry.java              | Java            |         39 |          8 |         10 |         57 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainSubSys.java                | Java            |        124 |         61 |         37 |        222 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainTelemetry.java             | Java            |         65 |         13 |         19 |         97 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\OdometryThread.java                  | Java            |        215 |        176 |         70 |        461 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\PigeonGyro.java                      | Java            |         22 |          9 |         12 |         43 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\RotationController.java              | Java            |         50 |          6 |         14 |         70 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\SwerveModule.java                    | Java            |        139 |        124 |         50 |        313 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\commands\DrivetrainCmds.java         | Java            |         16 |         11 |          7 |         34 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\commands\SwerveDriveCmd.java         | Java            |         90 |         23 |         18 |        131 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\AngleFalconConfig.java        | Java            |         49 |         21 |         13 |         83 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\CanCoderConfig.java           | Java            |         12 |          7 |          5 |         24 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\DriveFalconConfig.java        | Java            |         44 |         16 |         12 |         72 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\DrivetrainConfig.java         | Java            |         91 |         63 |         29 |        183 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\util\DriveState.java                                  | Java            |         12 |          4 |          4 |         20 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\util\FieldConstants.java                              | Java            |         25 |          2 |         10 |         37 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\util\MacAddressUtilJITB.java                          | Java            |         31 |          2 |          5 |         38 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\util\PoseAndTimestamp.java                            | Java            |         20 |          0 |          7 |         27 |
| c:\Workspace\Robot\2025bot\src\main\java\frc\util\Rmath.java                                       | Java            |        123 |         32 |         22 |        177 |
| c:\Workspace\Robot\2025bot\vendordeps\AdvantageKit.json                                            | JSON            |         34 |          0 |          0 |         34 |
| c:\Workspace\Robot\2025bot\vendordeps\LumynLabs-2025.0.0.json                                      | JSON            |         71 |          0 |          0 |         71 |
| c:\Workspace\Robot\2025bot\vendordeps\PathplannerLib-2025.1.1.json                                 | JSON            |         38 |          0 |          0 |         38 |
| c:\Workspace\Robot\2025bot\vendordeps\Phoenix5-5.35.1.json                                         | JSON            |        171 |          0 |          0 |        171 |
| c:\Workspace\Robot\2025bot\vendordeps\Phoenix6-25.1.0.json                                         | JSON            |        389 |          0 |          0 |        389 |
| c:\Workspace\Robot\2025bot\vendordeps\PlayingWithFusion-2025.01.04.json                            | JSON            |         68 |          0 |          0 |         68 |
| c:\Workspace\Robot\2025bot\vendordeps\REVLib-2025.0.0.json                                         | JSON            |         74 |          0 |          0 |         74 |
| c:\Workspace\Robot\2025bot\vendordeps\ReduxLib-2025.0.0.json                                       | JSON            |         72 |          0 |          0 |         72 |
| c:\Workspace\Robot\2025bot\vendordeps\Studica-2025.0.0.json                                        | JSON            |         71 |          0 |          0 |         71 |
| c:\Workspace\Robot\2025bot\vendordeps\ThriftyLib.json                                              | JSON            |         20 |          0 |          0 |         20 |
| c:\Workspace\Robot\2025bot\vendordeps\URCL.json                                                    | JSON            |         65 |          0 |          0 |         65 |
| c:\Workspace\Robot\2025bot\vendordeps\WPILibNewCommands.json                                       | JSON            |         38 |          0 |          1 |         39 |
| c:\Workspace\Robot\2025bot\vendordeps\maple-sim.json                                               | JSON            |         26 |          0 |          0 |         26 |
| Total                                                                                              |                 |      4,846 |      1,614 |      1,008 |      7,468 |
+----------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
