"filename", "language", "Groovy", "Markdown", "JSON", "Batch", "Java Properties", "Java", "comment", "blank", "total"
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\Triggers.java", "Java", 0, 0, 0, 0, 0, 26, 1, 7, 34
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\XboxGamepad.java", "Java", 0, 0, 0, 0, 0, 98, 1, 27, 126
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\Curve.java", "Java", 0, 0, 0, 0, 0, 62, 97, 16, 175
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\ExpCurve.java", "Java", 0, 0, 0, 0, 0, 37, 42, 8, 87
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\LinCurve.java", "Java", 0, 0, 0, 0, 0, 23, 26, 4, 53
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\SplineCurve.java", "Java", 0, 0, 0, 0, 0, 184, 96, 18, 298
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\gamepads\mapping\SplineType.java", "Java", 0, 0, 0, 0, 0, 8, 8, 2, 18
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\CTREModuleState.java", "Java", 0, 0, 0, 0, 0, 42, 16, 6, 64
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\Request.java", "Java", 0, 0, 0, 0, 0, 26, 14, 10, 50
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\SwerveModuleConfig.java", "Java", 0, 0, 0, 0, 0, 23, 12, 4, 39
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\swerve\SwerveUtil.java", "Java", 0, 0, 0, 0, 0, 72, 39, 17, 128
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\Alert.java", "Java", 0, 0, 0, 0, 0, 76, 44, 15, 135
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\AlertCommand.java", "Java", 0, 0, 0, 0, 0, 26, 11, 10, 47
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\CustomLayout.java", "Java", 0, 0, 0, 0, 0, 58, 6, 15, 79
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\TelemetrySubsystem.java", "Java", 0, 0, 0, 0, 0, 29, 3, 8, 40
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\telemetry\WidgetsAndLayouts.java", "Java", 0, 0, 0, 0, 0, 29, 5, 15, 49
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Conversions.java", "Java", 0, 0, 0, 0, 0, 39, 42, 11, 92
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\GeomUtil.java", "Java", 0, 0, 0, 0, 0, 42, 65, 12, 119
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Network.java", "Java", 0, 0, 0, 0, 0, 57, 16, 6, 79
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Rmath.java", "Java", 0, 0, 0, 0, 0, 123, 32, 22, 177
"c:\Workspace\Robot\2025bot\src\main\java\frc\lib\util\Util.java", "Java", 0, 0, 0, 0, 0, 75, 26, 22, 123
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 0, 8, 13, 5, 26
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\Robot.java", "Java", 0, 0, 0, 0, 0, 149, 60, 56, 265
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\RobotConfig.java", "Java", 0, 0, 0, 0, 0, 26, 2, 6, 34
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\RobotTelemetry.java", "Java", 0, 0, 0, 0, 0, 54, 48, 24, 126
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\Layouts.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 11, 64
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepad.java", "Java", 0, 0, 0, 0, 0, 99, 66, 31, 196
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadConfig.java", "Java", 0, 0, 0, 0, 0, 36, 8, 8, 52
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadTelemetry.java", "Java", 0, 0, 0, 0, 0, 81, 6, 19, 106
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\XBoxCtrlrs\pilot\commands\PilotGamepadCmds.java", "Java", 0, 0, 0, 0, 0, 34, 11, 11, 56
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\AlignmentController.java", "Java", 0, 0, 0, 0, 0, 61, 6, 14, 81
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainOdometry.java", "Java", 0, 0, 0, 0, 0, 39, 8, 10, 57
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainSubSys.java", "Java", 0, 0, 0, 0, 0, 124, 61, 37, 222
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\DrivetrainTelemetry.java", "Java", 0, 0, 0, 0, 0, 65, 13, 19, 97
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\OdometryThread.java", "Java", 0, 0, 0, 0, 0, 215, 176, 70, 461
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\PigeonGyro.java", "Java", 0, 0, 0, 0, 0, 22, 9, 12, 43
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\RotationController.java", "Java", 0, 0, 0, 0, 0, 50, 6, 14, 70
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\SwerveModule.java", "Java", 0, 0, 0, 0, 0, 139, 124, 50, 313
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\commands\DrivetrainCmds.java", "Java", 0, 0, 0, 0, 0, 16, 11, 7, 34
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\commands\SwerveDriveCmd.java", "Java", 0, 0, 0, 0, 0, 90, 23, 18, 131
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\AngleFalconConfig.java", "Java", 0, 0, 0, 0, 0, 49, 21, 13, 83
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\CanCoderConfig.java", "Java", 0, 0, 0, 0, 0, 12, 7, 5, 24
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\DriveFalconConfig.java", "Java", 0, 0, 0, 0, 0, 44, 16, 12, 72
"c:\Workspace\Robot\2025bot\src\main\java\frc\robot\drivetrain\config\DrivetrainConfig.java", "Java", 0, 0, 0, 0, 0, 91, 63, 29, 183
"c:\Workspace\Robot\2025bot\src\main\java\frc\util\DriveState.java", "Java", 0, 0, 0, 0, 0, 12, 4, 4, 20
"c:\Workspace\Robot\2025bot\src\main\java\frc\util\FieldConstants.java", "Java", 0, 0, 0, 0, 0, 25, 2, 10, 37
"c:\Workspace\Robot\2025bot\src\main\java\frc\util\MacAddressUtilJITB.java", "Java", 0, 0, 0, 0, 0, 31, 2, 5, 38
"c:\Workspace\Robot\2025bot\src\main\java\frc\util\PoseAndTimestamp.java", "Java", 0, 0, 0, 0, 0, 20, 0, 7, 27
"c:\Workspace\Robot\2025bot\src\main\java\frc\util\Rmath.java", "Java", 0, 0, 0, 0, 0, 123, 32, 22, 177
"c:\Workspace\Robot\2025bot\vendordeps\AdvantageKit.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 34
"c:\Workspace\Robot\2025bot\vendordeps\LumynLabs-2025.0.0.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 71
"c:\Workspace\Robot\2025bot\vendordeps\PathplannerLib-2025.1.1.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 38
"c:\Workspace\Robot\2025bot\vendordeps\Phoenix5-5.35.1.json", "JSON", 0, 0, 171, 0, 0, 0, 0, 0, 171
"c:\Workspace\Robot\2025bot\vendordeps\Phoenix6-25.1.0.json", "JSON", 0, 0, 389, 0, 0, 0, 0, 0, 389
"c:\Workspace\Robot\2025bot\vendordeps\PlayingWithFusion-2025.01.04.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 68
"c:\Workspace\Robot\2025bot\vendordeps\REVLib-2025.0.0.json", "JSON", 0, 0, 74, 0, 0, 0, 0, 0, 74
"c:\Workspace\Robot\2025bot\vendordeps\ReduxLib-2025.0.0.json", "JSON", 0, 0, 72, 0, 0, 0, 0, 0, 72
"c:\Workspace\Robot\2025bot\vendordeps\Studica-2025.0.0.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 71
"c:\Workspace\Robot\2025bot\vendordeps\ThriftyLib.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 20
"c:\Workspace\Robot\2025bot\vendordeps\URCL.json", "JSON", 0, 0, 65, 0, 0, 0, 0, 0, 65
"c:\Workspace\Robot\2025bot\vendordeps\WPILibNewCommands.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Workspace\Robot\2025bot\vendordeps\maple-sim.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 26
"Total", "-", 92, 75, 1143, 41, 7, 3488, 1614, 1008, 7468
